Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Escada 1100/9P - 216959;20300;220;Escada;600;1200;хром;белый;9;40;360;модерн;E14
Люстра Escada 1121/6PL - 217099;18620;220;Escada;560;420;белый;прозрачный;6;60;360;модерн;E27
Люстра Escada 599/3P - 216944;5790;220;Escada;560;320;бронза;янтарный;3;60;180;модерн;E27
Люстра Escada 687/5P - 217047;9510;220;Escada;600;475;хром;серый;5;40;200;модерн;E14
Люстра Odeon Light  4391/55L - 281194;43990;220;Odeon Light;900;1200;черный;белый;1;50;50;хай-тек;LED
Люстра Escada 1123/5P - 216995;10860;220;Escada;560;300;черный;янтарный;5;40;200;модерн;E27
Люстра Odeon Light  4391/30L - 281189;33590;220;Odeon Light;560;1500;черный;белый;1;30;30;хай-тек;LED
Люстра Crystal Lux NICOLAS SP10 L1300 GOLD/WHITE - 280982;61900;220;Crystal Lux;560;498;золото;прозрачный;10;60;600;модерн;E14
Люстра Odeon Light  4391/40L - 281190;38450;220;Odeon Light;600;1500;черный;белый;1;40;40;хай-тек;LED
Люстра Crystal Lux REINA V2 SP16 L1500 SILVER PATINA - 280995;335900;220;Crystal Lux;1200;650;серебро;белый;12;60;720;арт-деко;E14
Люстра Crystal Lux NICOLAS SP12 L1600 NICKEL/WHITE - 274557;74900;220;Crystal Lux;560;498;никель;прозрачный;12;60;720;модерн;E14
Люстра Crystal Lux NICOLAS SP10 L1300 NICKEL/WHITE - 280981;61900;220;Crystal Lux;560;498;никель;белый;10;60;600;модерн;E14
Люстра Crystal Lux REINA SP8 D1000 SILVER PATINA - 280992;264900;220;Crystal Lux;1000;650;серебро;белый;8;60;480;арт-деко;E14
Люстра Crystal Lux REINA PL5 D600 SILVER PATINA - 280991;144900;220;Crystal Lux;600;600;серебро;белый;5;60;300;арт-деко;E14
Люстра Crystal Lux REINA V2 SP16 L1500 GOLD PEARL - 280994;335900;220;Crystal Lux;1200;650;золото;белый;12;60;720;арт-деко;E14
Люстра Crystal Lux NICOLAS SP12 L1600 GOLD/WHITE - 280983;74900;220;Crystal Lux;600;498;золото;прозрачный;12;60;720;модерн;E14
Люстра Crystal Lux OTONO SP10 L980 BRASS/TRANSPARENTE - 261332;39800;220;Crystal Lux;1000;297;латунь;прозрачный;10;40;400;современный;E14
Люстра Crystal Lux OTONO SP6+1 BLACK CHROMIUM/TRANSPARENTE - 261330;26200;220;Crystal Lux;655;455;черный;прозрачный;7;40;290;современный;E14
Люстра Crystal Lux TOMAS SP8 L1000 BRASS - 260815;71400;220;Crystal Lux;1200;555;латунь;прозрачный;8;60;480;современный;E14
Люстра Crystal Lux TOMAS SP4 CHROME - 260812;25700;220;Crystal Lux;310;586;хром;прозрачный;4;60;240;современный;E14
Люстра Crystal Lux TOMAS SP8 L1000 CHROME - 260813;71400;220;Crystal Lux;1000;555;хром;прозрачный;8;60;480;современный;E14
Люстра Crystal Lux OTONO SP6+1 BRASS/TRANSPARENTE - 261333;26200;220;Crystal Lux;655;455;латунь;прозрачный;7;40;290;современный;E14
Люстра Crystal Lux MAESTRO SP-PL5 CHROME - 280961;19100;220;Crystal Lux;690;455;хром;прозрачный;5;60;300;модерн;E14
Люстра Crystal Lux TOMAS SP4 BRASS - 260814;25700;220;Crystal Lux;310;586;латунь;прозрачный;4;60;240;современный;E14
Люстра Crystal Lux PROXIMO SP42W LED L1100 BLACK - 260796;16100;220;Crystal Lux;1000;50;черный;белый;1;42;42;современный;LED
Люстра Crystal Lux OTONO SP10 L980 BLACK CHROMIUM/TRANSPARENTE - 261329;39800;220;Crystal Lux;655;297;черный;прозрачный;10;40;400;современный;E14
Люстра Crystal Lux MAESTRO SP-PL7 CHROME - 280965;23900;220;Crystal Lux;790;455;хром;прозрачный;7;60;420;модерн;E14
Люстра Crystal Lux SUAVE SP35W LED L1200 BLACK - 260811;9900;220;Crystal Lux;310;240;черный;белый;1;35;35;современный;LED
Люстра Crystal Lux MAESTRO SP-PL5+5 CHROME - 280963;34900;220;Crystal Lux;890;527;хром;прозрачный;5;60;300;модерн;E14
Люстра Crystal Lux MAESTRO SP-PL7 GOLD - 280966;23900;220;Crystal Lux;790;455;золото;прозрачный;7;60;420;модерн;E14
Люстра Crystal Lux GARDEN SPLED+4 D800 CHROME - 2608050;35600;220;Crystal Lux;800;300;хром;хром;5;60;132;современный;LED
Люстра Crystal Lux GARDEN SPLED+3 D600 GOLD - 260799;24500;220;Crystal Lux;600;300;золото;золото;4;99;99;современный;LED
Люстра Crystal Lux MAESTRO SP-PL5+5 GOLD - 280964;34900;220;Crystal Lux;890;527;золото;прозрачный;5;60;300;модерн;E14
Люстра Crystal Lux CLT 015C6 D600 BL - 281000;22950;220;Crystal Lux;600;184;черный;черный;6;50;300;современный;GU10
Люстра Crystal Lux MAESTRO SP-PL10 L1100 CHROME - 280959;43900;220;Crystal Lux;790;453;хром;прозрачный;10;60;600;модерн;E14
Люстра Crystal Lux GARDEN SPLED+3 D600 CHROME - 260804;24500;220;Crystal Lux;600;300;хром;хром;4;99;99;современный;LED
Люстра Crystal Lux MAESTRO SP-PL10 L1100 GOLD - 280960;43900;220;Crystal Lux;890;453;золото;прозрачный;10;60;600;модерн;E14
Люстра Crystal Lux CLT 015C8 D800 BL - 281002;29300;220;Crystal Lux;602;186;черный;черный;8;50;400;современный;GU10
Люстра Crystal Lux GARDEN SPLED+4 D800 GOLD - 260800;35600;220;Crystal Lux;800;300;золото;золото;5;60;132;современный;LED
Люстра Crystal Lux MAESTRO SP-PL5 GOLD - 280962;19100;220;Crystal Lux;690;455;золото;прозрачный;5;60;300;модерн;E14
Люстра Crystal Lux CLT 015C6 D600 BL-GO - 281001;24150;220;Crystal Lux;601;185;черный;золото;6;50;300;современный;GU10
Люстра Crystal Lux CATARINA SP8 V2 GOLD/TRANSPARENT-COGNAC - 273510;67700;220;Crystal Lux;840;785;золото;черный;8;60;480;арт-деко;E14
Люстра Crystal Lux FELIZ SP-PL6 BRONZE/WHITE - 260809;23600;220;Crystal Lux;850;450;бронза;белый;6;40;240;современный;E27
Люстра Crystal Lux CLT 015C8 D800 BL-GO - 281003;30750;220;Crystal Lux;603;187;черный;золото;8;50;400;современный;GU10
Люстра Crystal Lux FELIZ SP-PL3 BRONZE/WHITE - 260808;12700;220;Crystal Lux;500;245;бронза;белый;3;40;123;современный;E27
Люстра Crystal Lux CATARINA SP6 V2 GOLD/TRANSPARENT-COGNAC - 273509;48500;220;Crystal Lux;700;775;золото;золото;6;60;360;арт-деко;E14
Люстра Crystal Lux AURELIO SP8 GOLD+CHROME/TRANSPARENT - 260794;29800;220;Crystal Lux;720;450;золото;белый;8;60;480;арт-деко;E14
Люстра Citilux CL731A090E - 252867;31490;220;Citilux;800;400;белый;белый;1;110;110;хай-тек;LED
Люстра Crystal Lux AURELIO SP6 GOLD+CHROME/TRANSPARENT - 260793;22900;220;Crystal Lux;620;450;золото;белый;6;60;360;арт-деко;E14
Люстра Citilux CL719500 - 243662;11500;220;Citilux;500;170;белый;белый;1;53;53;хай-тек;LED
Люстра Omnilux OML-69603-10 - 269688;26140;220;Omnilux;620;600;хром;прозрачный;10;40;400;классика;E14
Люстра Omnilux OML-69613-10 - 269689;27150;220;Omnilux;620;600;золото;прозрачный;10;40;400;классика;E14
Люстра Citilux CL719640 - 243664;16000;220;Citilux;600;170;белый;белый;1;108;108;хай-тек;LED
Люстра Omnilux OML-89603-08 - 269691;46620;220;Omnilux;520;650;хром;прозрачный;8;40;320;классика;E14
Люстра Citilux CL719501 - 243663;11500;220;Citilux;500;170;черный;белый;1;53;53;хай-тек;LED
Люстра Omnilux OML-67707-06 - 269967;12350;220;Omnilux;740;310;черный;прозрачный;6;60;360;модерн;E27
Люстра Omnilux OML-67807-06 - 269681;7950;220;Omnilux;600;380;черный;прозрачный;6;60;360;модерн;E27
Люстра Omnilux OML-89603-15 - 269692;79020;220;Omnilux;700;700;хром;прозрачный;15;40;600;классика;E14
Люстра Omnilux OML-69007-09 - 263993;36620;220;Omnilux;600;520;хром;прозрачный;9;60;540;модерн;E14
Люстра Omnilux OML-89703-12 - 269964;58190;220;Omnilux;600;800;золото;прозрачный;15;40;480;классика;E14
Люстра Omnilux OML-67807-08 - 269682;10400;220;Omnilux;720;380;черный;прозрачный;8;60;480;модерн;E27
Люстра Omnilux OML-69007-06 - 263992;25900;220;Omnilux;450;500;хром;прозрачный;6;60;360;модерн;E14
Люстра Omnilux OML-69207-06 - 264001;24090;220;Omnilux;450;520;хром;прозрачный;6;60;360;модерн;E14
Люстра Omnilux OML-69207-09 - 264002;38270;220;Omnilux;600;560;хром;прозрачный;9;60;540;модерн;E14
Люстра Omnilux OML-66807-08 - 207820;13100;220;Omnilux;860;500;черный;дымчатый;8;40;320;модерн;E14
Люстра Omnilux OML-69017-09 - 263996;35920;220;Omnilux;600;520;золото;прозрачный;9;60;540;модерн;E14
Люстра Omnilux OML-69217-09 - 264004;39350;220;Omnilux;600;560;золото;прозрачный;9;60;540;модерн;E14
Люстра Omnilux OML-69317-07 - 264010;23780;220;Omnilux;860;540;латунь;прозрачный;7;60;420;модерн;E14
Люстра Omnilux OML-66807-12 - 207821;20250;220;Omnilux;1000;500;черный;дымчатый;12;40;480;модерн;E14
Люстра Omnilux OML-69217-06 - 264003;24910;220;Omnilux;450;520;золото;прозрачный;6;60;360;модерн;E14
Люстра Loft IT 9027-61 Gold - 284866;106260;220-240;Loft IT;610;690;золото;прозрачный;162;0.3;48.6;арт-деко;LED
Люстра 264009 Omnilux OML-69317-05 -;16420;220;Omnilux;750;540;латунь;прозрачный;5;60;300;модерн;E14
Люстра Loft IT 10210/6 White - 284853;46370;220;Loft IT;620;990;прозрачный;белый;6;4;24;арт-деко;E14
Люстра Loft IT 9027-127 Gold - 284868;373520;220-240;Loft IT;1270;1320;золото;прозрачный;492;0.3;147;арт-деко;LED
Люстра Loft IT 9027-43 Gold - 284865;63110;220-240;Loft IT;430;520;золото;прозрачный;92;0.3;27;арт-деко;LED
Люстра Loft IT 10210/6 Black - 284854;51340;220;Loft IT;620;990;черный;черный;6;4;24;арт-деко;E14
Люстра Omnilux OML-53213-05 - 226439;11920;220;Omnilux;650;500;серебро;белый;5;40;200;модерн;E14
Люстра Loft IT 10210/8 Black - 284856;66240;220;Loft IT;750;990;черный;черный;8;4;32;арт-деко;E14
Люстра Omnilux OML-67717-05 - 269699;10500;220-240;Omnilux;560;360;черный;прозрачный;5;60;300;модерн;E27
Люстра Loft IT 10210/8 White - 284855;59060;220;Loft IT;750;990;прозрачный;белый;8;4;32;арт-деко;E14
Люстра Loft IT 9027-89 Gold - 284867;171300;220-240;Loft IT;890;970;золото;черный;252;0.3;75;арт-деко;LED
Люстра Omnilux OML-53213-08 - 226440;17520;220;Omnilux;760;500;серебро;белый;8;40;320;модерн;E14
Люстра Omnilux OML-43017-100 - 207838;13740;220;Omnilux;700;100;белый;белый;1;100;100;модерн;LED
Люстра Omnilux OML-67717-08 - 269700;15500;220-240;Omnilux;700;360;черный;прозрачный;8;60;480;модерн;E27
Люстра Omnilux OML-43007-40 - 207837;4700;220;Omnilux;385;80;белый;белый;1;40;40;модерн;LED
Люстра ST Luce ST605.403.91 - 282008;33650;220-240;ST Luce;800;970;черный;белый;1;91;91;хай-тек;LED
Люстра BogateS 341 Smart - 203422;30300;230;BogateS;755;900;золото;белый;27;3;81;модерн;G4
Люстра ST Luce ST605.403.57 - 282006;30820;230;ST Luce;1000;900;черный;белый;1;57;57;хай-тек;LED
Люстра ST Luce ST605.203.91 - 282004;37030;220-240;ST Luce;800;360;золото;белый;1;91;91;хай-тек;LED
Люстра ST Luce ST605.403.114 - 282005;42210;220;ST Luce;800;80;черный;белый;1;114;114;хай-тек;LED
Люстра ST Luce ST605.503.114 - 282009;42210;220-240;ST Luce;800;970;белый;белый;1;114;114;хай-тек;LED
Люстра ST Luce ST605.403.72 - 282007;38870;230;ST Luce;1200;900;черный;белый;1;72;72;хай-тек;LED
Люстра ST Luce ST605.503.57 - 282010;30820;220-240;ST Luce;1000;360;белый;белый;1;57;57;хай-тек;LED
Люстра ST Luce ST605.503.91 - 282012;33650;220;ST Luce;800;80;белый;белый;1;91;91;хай-тек;LED
Люстра ST Luce ST605.203.114 - 282001;46350;220-240;ST Luce;800;970;золото;белый;1;114;114;хай-тек;LED
Люстра Aployt APL.911.07.05 - 242750;9200;230;Aployt;1200;900;матовое золото;белый;5;40;200;лофт;E27
Люстра ST Luce ST605.503.72 - 282011;38870;220-240;ST Luce;1200;360;белый;белый;1;72;72;хай-тек;LED
Люстра ST Luce ST605.203.57 - 282002;33930;220;ST Luce;1000;80;золото;белый;1;57;57;хай-тек;LED
Люстра ST Luce ST605.203.72 - 282003;42780;220-240;ST Luce;1200;970;золото;белый;1;72;72;хай-тек;LED
Люстра Aployt APL.831.13.22 - 242728;166470;230;Aployt;800;750;хром;прозрачный;22;40;880;классика;E14
Люстра Aployt APL.835.07.13 - 242739;88440;220;Aployt;600;80;золото;прозрачный;13;40;520;классика;G9
Люстра Aployt APL.835.17.13 - 242740;86460;220-240;Aployt;600;970;хром;прозрачный;13;40;520;классика;G9
Люстра Aployt APL.911.07.03 - 242749;6310;220-240;Aployt;1200;360;матовое золото;белый;3;40;120;лофт;E27
Люстра Aployt APL.837.03.12 - 242748;58530;230;Aployt;800;400;бронза;янтарный;12;40;480;классика;E14
Люстра Aployt APL.912.13.07 - 242753;18130;220;Aployt;480;600;бронза;янтарный;7;40;280;лофт;E14
Люстра Aployt APL.911.07.09 - 242751;21120;220-240;Aployt;600;970;матовое золото;прозрачный;9;40;360;лофт;E27
Люстра Aployt APL.837.03.10 - 242747;45490;220-240;Aployt;600;500;бронза;янтарный;10;40;400;классика;E14
